relative_path,status,cx,cy,r,elapsed_ms
001/L/S1001L03.jpg,ok,126.60,138.60,58.20,21.6
001/L/S1001L01.jpg,ok,156.60,114.60,58.32,25.6
001/L/S1001L02.jpg,ok,159.00,129.00,52.20,39.2
001/L/S1001L04.jpg,ok,174.60,144.60,55.80,25.3
001/L/S1001L06.jpg,ok,162.60,150.60,60.60,14.0
001/L/S1001L05.jpg,ok,156.60,144.60,54.72,17.8
001/L/S1001L08.jpg,ok,162.60,150.60,60.60,15.8
001/L/S1001L07.jpg,ok,153.00,136.20,55.32,33.6
001/L/S1001L10.jpg,ok,144.60,126.60,56.04,21.5
001/L/S1001L09.jpg,ok,137.40,120.60,58.92,27.5
001/R/S1001R01.jpg,ok,180.60,130.20,58.08,15.8
001/R/S1001R04.jpg,ok,191.40,137.40,55.92,25.8
001/R/S1001R03.jpg,ok,173.40,131.40,60.24,27.8
001/R/S1001R09.jpg,ok,177.00,145.80,48.48,11.8
001/R/S1001R07.jpg,ok,185.40,142.20,55.80,9.8
002/L/S1002L01.jpg,ok,162.60,159.00,48.00,13.8
001/R/S1001R02.jpg,ok,147.00,126.60,50.04,49.3
001/R/S1001R05.jpg,ok,180.60,138.60,56.76,37.3
001/R/S1001R06.jpg,ok,168.60,132.60,55.68,35.3
001/R/S1001R08.jpg,ok,186.60,132.60,48.96,37.1
002/L/S1002L05.jpg,ok,183.00,183.00,42.36,11.5
001/R/S1001R10.jpg,ok,174.60,165.00,47.76,43.1
002/L/S1002L03.jpg,ok,142.20,174.60,41.52,39.1
002/R/S1002R01.jpg,ok,144.60,160.20,24.60,19.8
002/L/S1002L07.jpg,ok,142.20,167.40,39.24,10.0
002/L/S1002L08.jpg,ok,159.00,183.00,38.64,21.8
002/L/S1002L02.jpg,ok,150.60,156.60,42.12,53.1
002/R/S1002R02.jpg,ok,150.60,204.60,35.88,28.3
002/R/S1002R03.jpg,ok,114.60,161.40,44.76,20.6
002/L/S1002L10.jpg,ok,156.60,166.20,44.52,42.4
002/R/S1002R07.jpg,ok,156.60,162.60,40.08,10.8
002/L/S1002L09.jpg,ok,143.40,168.60,40.80,45.4
002/L/S1002L04.jpg,ok,177.00,156.60,45.24,68.9
002/R/S1002R09.jpg,ok,168.60,192.60,38.04,16.8
002/R/S1002R08.jpg,ok,166.20,180.60,33.12,11.0
002/R/S1002R04.jpg,ok,162.60,162.60,40.92,45.4
